49542,49
47755,57
47856,50
47525,41
48801,42
46344,63
47719,51
49114,46
48349,41
48404,51
47276,54
48089,48
46565,50
48855,50
48566,44
46788,57
47700,50
49171,50
49573,40
49538,45
48150,48
48304,46
48418,47
46601,55
48742,52
47876,50
46494,55
48671,50
46910,58
48694,59
47631,51
48396,47
49742,46
46865,55
48408,53
47556,50
48221,48
49302,49
48718,52
47935,62
47905,54
48466,60
48021,49
48902,49
46086,57
48101,48
48166,51
46482,55
47425,53
48933,48
49499,46
49286,50
47393,49
48602,52
49057,47
49368,54
48959,44
46247,49
49648,57
49931,51
49336,56
47036,56
47351,51
46037,53
49121,54
49071,40
49215,44
48497,47
48777,48
48405,55
48955,47
47236,58
48073,48
48734,54
47876,48
49260,42
49098,42
48686,52
48024,46
48610,55
49954,42
48528,55
48546,48
46456,55
48237,55
48784,44
47924,52
47154,49
48927,44
48907,52
47496,56
47286,54
48219,45
47325,59
47311,50
48203,61
49172,51
47689,52
48378,51
46898,51
48017,51
48386,46
47882,50
47725,56
48081,46
48319,49
48403,44
47474,59
47435,55
47701,68
47900,55
48050,50
49070,41
47780,51
49219,49
49808,59
47557,53
49036,50
48153,50
47230,58
47030,49
47255,58
48660,48
48286,48
48392,40
48759,47
47721,55
48342,52
48544,49
47292,49
46266,53
48715,51
48706,46
48374,40
48375,42
47739,49
47604,49
46890,59
47453,50
49289,47
48183,49
48242,56
48567,45
46178,54
47011,60
48787,51
47692,57
47144,58
49704,41
47934,53
48551,48
48425,53
47289,52
47960,48
47743,51
48934,55
48153,46
47626,61
49213,47
47241,49
48088,49
48930,58
47619,49
47480,51
46911,52
48742,52
49682,39
48315,58
49739,52
47596,54
47633,49
47537,59
47480,50
48848,42
46526,57
48215,49
49369,45
46695,57
47640,46
48299,47
49266,51
47825,55
48551,47
48463,48
48436,50
47316,56
47767,50
48882,41
47002,57
47823,49
48285,52
49189,49
48582,50
48410,42
46912,52
47195,51
48599,44
48653,51
48523,48
47770,59
47662,45
48808,54
46453,54
48854,47
49093,43
49182,43
47133,54
47185,55
47281,59
47474,49
47509,51
46960,53
48568,50
47181,60
46801,57
48199,46
46996,60
48263,49
48588,50
46930,48
48343,44
48047,48
47922,57
47206,54
47592,60
47219,51
48212,50
47405,53
48853,52
49097,52
48021,48
49404,47
47911,52
48839,49
49135,48
47087,54
47778,51
46881,51
49315,52
47845,55
47534,60
49766,38
47864,46
48076,50
48354,47
49330,55
49029,51
47761,44
47353,49
48383,52
48318,37
48324,51
46801,54
49069,49
48531,50
49779,52
48282,51
47144,55
49667,39
47714,53
48798,46
47583,52
47529,58
47984,44
47169,55
48371,49
45826,58
49756,52
48579,49
46168,64
49219,44
46662,52
47664,52
47536,55
49213,53
47992,49
50435,48
48034,47
47380,51
47597,59
48732,48
46987,58
47469,53
47245,62
46550,61
48599,50
47841,52
48934,53
47656,52
48791,49
47098,55
47800,57
46406,61
47779,59
46983,55
50156,46
48745,49
48381,45
48986,50
45665,60
49710,42
46297,54
48257,49
48213,55
47479,50
47870,53
48344,50
46236,64
46994,50
47820,51
48119,52
48383,49
46827,56
47885,51
47579,53
49807,48
48643,45
47891,50
49313,48
47795,50
47247,49
48036,56
47237,56
48314,52
48659,46
47335,48
49002,54
48720,47
48976,47
48228,49
49971,47
48446,44
48341,55
49280,44
47721,49
50193,48
49236,47
47741,52
49501,40
48290,50
45591,56
48435,49
48985,51
47924,64
47756,53
47266,56
47400,56
48364,52
47779,59
47405,54
48535,47
48058,50
49013,50
50055,47
47132,55
48095,46
47392,44
46897,60
47267,58
47518,55
49433,49
48652,46
46904,59
49795,38
48339,54
48343,54
48398,52
47766,59
47307,63
47379,49
48031,51
46657,57
47546,56
49114,59
47671,60
49191,46
47615,51
48193,59
48237,48
48106,51
47912,48
46745,60
49501,49
48610,54
47751,50
47757,58
47610,58
48295,54
47957,61
48358,55
48117,51
48113,56
46484,59
48422,43
47342,53
47202,50
48389,45
47721,53
48575,49
47844,53
49314,46
47825,50
47498,54
48326,47
48871,51
47012,48
47435,55
47791,54
47614,52
48750,51
48686,55
46818,58
49209,45
47359,54
49377,48
49842,47
46889,63
48452,45
47938,50
48683,50
47453,47
47842,60
48559,45
48586,53
47679,47
47960,47
47448,53
47915,48
49008,41
47264,48
46424,59
49003,49
48386,42
47688,58
46917,51
47965,55
48012,49
47329,55
51516,46
48267,54
49201,47
47998,48
47891,50
49440,51
47979,53
47783,54
49924,41
48038,49
48453,50
47822,49
47163,50
47397,53
49762,51
49704,44
46821,53
47400,50
49239,46
49855,44
48348,46
47847,46
46478,55
46034,62
47644,51
46738,62
47459,52
48316,45
47739,55
49752,44
47215,55
48812,46
47042,46
47215,55
48800,42
47480,46
48545,50
47075,62
48681,53
49352,48
49378,46
48134,46
46998,57
47704,47
48525,51
47756,53
50419,50
48538,47
50005,48
47992,53
47471,50
49645,45
48455,52
50153,50
48347,47
47704,48
47666,55
50699,41
49218,51
48066,49
49477,49
47669,52
46935,55
48511,50
48340,46
47572,57
48817,40
48135,45
49150,48
48160,49
46811,52
47198,55
48727,57
48686,50
48763,57
48263,48
48160,59
50415,45
47276,57
46896,59
47839,51
48755,46
47588,55
48636,54
49064,43
49140,46
48857,52
