73697,50
75247,50
75952,54
74800,51
73015,59
73126,54
73090,59
72473,53
73901,45
72812,53
72056,59
73384,49
73599,54
76007,49
73756,51
72475,53
74327,55
74219,45
72967,57
74230,59
73196,53
72103,61
74328,51
72561,54
74157,50
72328,59
74095,49
72419,62
75919,47
75775,46
72951,50
73826,57
72162,57
71821,59
72761,59
71637,61
74783,52
74168,51
74192,51
73299,56
72840,53
72938,52
72119,60
73547,54
72262,60
75137,56
73845,52
74260,48
73069,49
73585,60
72936,56
72836,55
72999,56
75826,53
72157,57
72962,52
72005,59
74395,46
75369,51
74396,52
75156,52
73258,52
75335,49
74970,57
72431,53
72226,51
73279,53
73687,53
74414,51
71404,64
73135,58
73064,55
74804,48
74819,46
72975,65
73169,57
73302,55
72668,56
73764,62
73287,55
72308,51
74433,51
74091,52
73345,58
74059,49
76046,44
72480,55
73181,47
75016,42
72607,55
72725,53
74972,58
73108,52
74678,56
73020,56
73212,56
76152,53
72717,63
72729,58
72856,53
73171,49
72080,57
74819,60
74485,50
72996,49
72768,56
73399,51
73806,47
72771,56
74024,57
71306,62
72585,52
72241,54
72341,60
73314,56
76060,49
72040,58
73379,59
73813,52
72430,53
73208,58
76445,43
74999,54
73039,54
72712,56
73241,56
72617,50
74654,51
73684,46
73075,54
74288,54
73168,56
74207,53
74121,51
71879,60
73545,52
75553,50
73657,61
75332,51
72682,59
71793,65
71831,62
74115,61
73626,52
73188,59
72435,55
73335,59
73726,53
74344,48
71995,62
73813,53
74777,48
71776,56
73242,50
71884,53
73263,51
73336,55
71940,59
72775,57
74135,49
72740,60
73450,52
71795,54
72081,58
73591,54
72302,61
74899,46
73377,58
71355,65
76296,49
73138,54
74269,57
73732,53
72968,52
72579,57
72619,55
73202,52
74089,49
73688,48
72780,55
71617,64
73640,52
73178,49
73523,59
73115,51
72946,53
76241,48
72309,53
73466,59
73957,54
72884,58
75505,48
73205,60
74284,51
74301,54
73121,43
72451,53
71143,66
71438,63
73415,50
75196,41
72401,52
74233,51
73190,54
72123,60
73736,52
72804,56
74615,52
73135,56
73057,58
72743,57
72852,55
73285,55
73154,51
75883,45
73581,58
73969,61
74294,54
73018,50
74475,57
73378,51
73651,52
74941,50
74481,49
73997,51
74461,48
74376,45
77143,48
72185,63
73544,58
73299,51
71507,58
73294,52
72934,60
74910,55
74263,55
72197,55
72214,64
73457,57
73323,50
73483,50
73916,57
73124,53
74500,49
73456,49
73972,59
73260,51
72383,59
74191,48
74012,53
71591,60
73823,50
75693,55
72024,56
76284,45
73218,53
72455,55
71947,56
73985,54
72056,61
73405,53
73893,57
73789,60
72618,58
75712,53
73765,52
73214,57
71716,62
73803,49
73512,60
73094,54
74722,41
74469,54
74222,54
73118,59
74227,50
72518,58
73096,50
73608,52
73707,51
72133,54
73173,62
73600,53
73373,57
72718,58
73202,54
74989,47
73021,59
73544,53
74222,60
72666,59
74053,50
73771,57
73415,55
73013,57
73495,56
74406,52
73033,51
73892,49
73725,55
75659,49
74685,49
72966,53
74049,48
73077,53
72656,60
72380,56
72855,55
75085,54
73379,60
73233,51
